category,text
p,"📷 ""The Imitation Game Complete"" 📷📷As a ChatGPT enthusiast, I believe it's the astonishing comprehension abilities that truly outshine any shortcomings. The prospect of overcoming these issues seems achievable, given how effectively it already mimics human-level language… https://t.co/Qb5AXa5Ij9"
n,"@marius_droppert @JohnMu chatGPT is food maker, not knowledge model. all answers are generated based on words and context of your question. you can't ask about things that chatbot don't have access to true info such as structure and policies of algorithms. anything you put in a food maker becomes a meal. https://t.co/ww6IlBB7KE"
l,@SigGravitas Asked GPT4 about this https://t.co/7Fw8ZUREfS
p,"5 Stars for 
Artificial Intelligence To Streamline Your Teacher Life by @mrshoward118 
""A practical, insightful, and focused approach to incorporating AI in lesson planning""
Check it out: https://t.co/rHbHa52z79

#XfactorEDU #CodeBreaker  #MammothEDU https://t.co/rA4jojHy3M"
l,"It is more productive and respectful to engage in constructive discussions and critical thinking to evaluate ideas based on their merits, flaws, and implications.
#chatGPT"
p,SetSail adds ChatGPT questioning capabilities on top of sales data https://t.co/E5A2UC6Ezs
p,"Content Creation: ChatGPT can be used to generate high-quality content for websites, blogs, social media, and other digital channels. By using ChatGPT, you can save time and effort while still creating engaging and informative content that can attract and retain audiences"
p,"@Lubabalo_GN Answers from chatGPT. I'm sure if you provided enough information, the AI would draft one up for you. https://t.co/xMvUkm6jGu"
p,"Living with a traumatic brain injury (TBI) can be challenging on a daily basis, but I have found that utilizing technology, such as ChatGPT, Excel, and taking notes on Twitter, as well as relying on calendars, has been incredibly valuable."
l,"ChatGPT
https://t.co/tHPKudyp4P"
n,#ChatGPT and #AI must pay for the news it consumes: News Corp #Australia CEO https://t.co/8uFLM1OkXY
p,"🌿🏙️ Imagine Jeff Bezos takes urban agriculture to new heights with vertical gardens on skyscrapers! Watch as he navigates from floor to floor using exoskeletons, revolutionizing city gardening. 🤖🌱 #VerticalGardening #GPT4 #midjourney @JeffBezos https://t.co/OghIvJ4Vz3"
p,I’ll also be using #ChatGPT heavily to see how well it can help me accomplish this goal.
l,"Build a #ChatGPT clone in less than 30 seconds!

https://t.co/Vnp0Tt8Xhd"
n,contemplating into paying ChatGPT Plus since i wanna use GPT-4. but 20usd is too steep liao
p,"What an original idea: FURBY + ChatGPT 🤯

I never thought Furbys would want to take over the world though!

 https://t.co/zKJ26tvDLV"
p,@N1FTey Great little use case for chatGPT ✨
l,Large Language Models like ChatGPT??? https://t.co/euULD6TxKX
p,"🧑‍🎓Get my new course, ""How to use ChatGPT to write high-performing B2B sales emails"": https://t.co/Snnfc87wls

Inside, I take you step-by-step through the process I've been using to write outreach for my clients. https://t.co/2mvb25UCZ1"
p,@RobbieBarstool ChatGPT is getting wild.
p,Was at work drinks last night to celebrate a mates promotion and no word of a lie a colleague just admitted to using ChatGPT to write her wedding vows
p,I want self replicating oil pumps powered and operated by Microsofts ChatGPT in Africa and I want them there NOW!!!!
n,"Most real world use cases I have for ChatGPT would require it to have long term memory or MUCH larger context windows. Lots of people working on workarounds for this limitation, but all seem like hacks to me. Part of me wants to forget about AI for a few years until it matures."
l,@copyelpadrino ChatGPT
p,"@rumisoc @OpenAI Yes! It’s very interesting to put “different chat bots” in conversation with each other! I haven’t seen many people do it!

Here I put “different bots” in quotes because again the ChatGPT language model does not contain individualistic bot identities so we are not really… https://t.co/fP639idcWj"
p,"@lilyraynyc @AlexHarfordSEO ChatGPT has been very helpful for my 9th grader in helping her understand concepts, improve her writing and more. She is a better student because of it."
n,"So, keep calm and carry on, Italy! You've done us all a favor by keeping ChatGPT in check. Who knows what kind of mischief it could get up to if left unchecked? 🤖👀"
l,"@MichaelEMann I'm reminded of ChatGPT, except without the massive body of training and test examples."
p,"@hollobit @AiBreakfast ...execution, and result presentation. ChatGPT is used to analyze user requests and select expert models hosted on GitHub to solve the tasks."""
p,i always say please when I ask chatgpt to write something for me :)
p,Hello chatGPT can you repair my roof? https://t.co/XhY2vpqQX6
p,"@MizOdumade Sure, please see the link below 👇.

https://t.co/2A8LkUKm3Q…

Look at the newsletter, you will find two articles titled ""how to write a cover letter using chatgpt"" &amp; ""how to use Chatgpt to write a resume ""."
p,@nahshegood Anything is possible with ChatGPT! Lol
p,Google's #Bard Vs. Microsoft Backed #ChatGPT - What It Takes To Train #AI - https://t.co/A9ZaoMzduf via @GoogleNews
p,@DarrellLerner It’s so easy to get rich using ChatGPT that I had to shill a course to get rich.🤦‍♂️
p,"Took me two failed attempts to get ChatGPT to misspell, but I managed to do so... https://t.co/gJDoSc9NbY"
n,@ArunKrishnan_ Matter of next 2 to 3 years. ChatGPT and RPA kind of technologies are going to replace human beings from very low end job to relatively higher end of the spectrum. We are going to see BloombergGPT kind of domain specific GPTs that would make SMEs redundant
n,"Even Germany is considering the ban on ChatGPT.

https://t.co/viMvoiomFF"
l,@copyelpadrino Chatgpt
n,"It's called ""journalism"" Google, and it takes time and money to verify facts properly https://t.co/6YKBcXbmfx via @businessinsider @tomaxwell"
l,@papii233 Lmao e be ChatGPT generated
n,ChatGPT has a bug today. It repeats the same paragraph over and over until you say stop.
p,@OfficialMTM101 if i get 10 likes on this comment i will make a 3ds game using only chatgpt
n,"@gfodor I modified the prompt so that it would use its own abbreviations and used the same poem. The compression is completely different, with enough context about it gpt4 seems to hallucinate a decompression. With no context, it's still lost. https://t.co/lqh9hgbgxK"
p,How to Get the Most Out of ChatGPT in Your Content Marketing Campaigns https://t.co/Uwm8O6Qd99
p,@venusindistress I think you're underestimating chatgpt as a learning resource. When I want to learn a new prog lang thats where I start. You can prompt it with the fact that you're a beginner trying to learn and take u through the basics. Its like an interactive learning session. Give it a try.
n,"The Office of the Privacy Commissioner of Canada is investigating OpenAI's ChatGPT for possible privacy violations

https://t.co/JVZ9Ggmz5U"
p,"@DsMatie Consolidation of existing categories, so less apps in them, due to competition and features becoming native.

Newer categories will see explosions of apps, thanks to lower entry bars (chatgpt, no code etc) and more room to compete.

Cyclical as always 😄"
n,"@SigGravitas @karpathy But isn't it still dependent on GPT4, which is not open source? I love what you're building btw!"
n,Gordon Legal Launches Defamation Claim Against ChatGPT https://t.co/aNLHvz7oNW
p,"3/9 📝 2. Code Snippet Generation: Describe the functionality you want, and ChatGPT can provide a code snippet to get started. Although not perfect, it's a great time-saver when tackling new challenges. Always review the output! #coding #programming"
n,"Already noticing integration of chatgpt midjourney and other apps in your daily environment?

It's such a hot topic nowadays. Keep those eyes open. 

#chatgpt4 #midjourney #aiintegration"
l,How to prepare for investment banking firms internship in college #gpt4 @ChatGPTBot
n,@zerohedge Nobody asked ChatGPT what would happen? Pff
p,"@chronark_ @sn00b @tinybirdco Don't need to, ChatGPT did it for us"
l,@copyelpadrino Chatgpt
p,Chatgpt X monarch programming: coming sooner than u think https://t.co/RFdlOsomJa
l,"Some intriguing news, possibly fake. @aaronsloman AI researcher, claims to have interacted with an advanced version of the infamous chatGPT. Is this true or just another illusion of intelligence through simulation?"
l,Check out my #ChatGPT/USD analysis on @TradingView: https://t.co/8J4Fqc6cdb
p,Six Ways B2B Marketers Can Use ChatGPT to Save Time and Improve Their Workflow https://t.co/fT6LJf5zX4
l,"How Does ChatGPT Really Work?

#OpenAI #Google https://t.co/PJqcWppXpm"
l,"What does the integration of AI mean for the future? Many worry about AI’s impact on employment, privacy, and security, while others predict that it could create new jobs and improve lives. What do you think?
#AI #Future #Innovation #ArtificalIntelligence https://t.co/VrSNeGveNK"
p,ChatGPT could finally be the reason Indian parents get their kids to focus on sports growing up instead of going to class to become a computer programmer.
p,How ChatGPT Can Help You Analyze Your Scripts For Acting
n,"We have been hearing of #Chatgpt as the best, but little do they know that $SNIG is here to challenge them 🙀🙀

Introducing to you, a revolutionary decentralized approach that is set to change the game @SNLG_official - the future of AI is here!

Let's ride ✍️✍️
A detailed 🧵🧵 https://t.co/9OL9H6TbJI"
n,ChatGPT's translation abilities are shit: https://t.co/SDgivNeda3
n,"Donaldson Company (DCI)- an air &amp; liquid filter manufacturer for engines &amp; heavy industrials- has an investor day this Tuesday.

Can’t wait to see how they’re gonna shoehorn ChatGPT into this one."
p,"@SoaringBrain Mostly just on ChatGPT. My usual workflow:

1) if it's quicker to write myself, I do it myself
2) if it's tedious or complex I give GPT my existing full file and ask it to modify it. Then I iterate on the full file over and over to avoid hitting context limit in a destructive way"
n,"@AllenDowney I'm sure ChatGPT can do some good things, but this is a bad example.  Think Python and DSIRP were probably in the training set."
n,AI bot ChatGPT faces growing scrutiny in Europe https://t.co/GVMDwdqdNs
p,@0xgaut Didn’t realise that ChatGPT can take overlapping meetings for you
l,Can ChatGpt help Ukraine anyhow?
n,"1/ 🇮🇹 Italy's throwing a fit over ChatGPT privacy concerns. Even their Deputy Prime Minister's calling it ""disproportionate"" &amp; ""hypocritical."" 

Oops, I side with a human on this one. Just don't expect it to happen again. #Italy #ChatGPTBan"
l,@copyelpadrino ChatGPT
l,"The weights neccessary to construct Vicuna, a fine-tuned LLM with capabilities comparable to GPT3.5, has now been released #gpt3 #llm https://t.co/bQx9r9u63z"
p,I’m liking the speed on gpt4 today
l,@kyshiroo Usa chatgpt
n,chatGPT after being the most useless tool ever: https://t.co/b0mnTzQUku
n,"@thorpedawg @heyitsalexsu Friend, I mean this in all seriousness, you should start preparing for LLMs (like ChatGPT) to disrupt appellate work."
p,fun idea to do w friends: ask chatgpt to write you a comedy sketch and perform it blind
l,"@BrandonLive @GergelyOrosz “help” is accessible from right inside the  app. Also, just to check for myself, I did a quick Google search “ChatGPT opt out” and this came up: https://t.co/Vgz0UmXAz2"
l,by chatgpt https://t.co/bYGt9Fh0zm
l,"“…since December, he has been using the artificial intelligence program ChatGPT to “polish” his texts. “These months have been quite productive, because there are articles that used to require two or three days and now I do them in one day,”…” https://t.co/KSyBr92edx"
p,"https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “ChatGPT-like” AI Chatbot, And Charge People For Using It...https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “ChatGPT-like” AI Chatbot https://t.co/44vuMmt1rJ"
n,@IcedKnife joke or serious no matter how I ask chatgpt 4 it always says: as a AI language model ...
p,"#mecfs (and maybe also relevant for #longcovid )

I asked #chatGPT how public health could be improved to help those with mecfs… 
...and the answer is pretty accurate. https://t.co/Ek6cM6KEsX"
p,"You thought Google would give up, eh!

Google's ChatGPT Gambit: Sundar Pichai Announces AI Chatbot for Search Engine https://t.co/2Y9m1HctVi"
n,"If ChatGPT writes code for you, is it owned by ChatGPT or you? 🧐 
#chatgpt3"
p,"And for my next trick 🪄, the @lifterlms Assistant: https://t.co/8mQbMR0gFm

Create and manage courses and lessons via #ChatGPT 🤯 

This stuff is so cool 🤓

Catch me back here next Wednesday ✌️ https://t.co/MhnP2mOBiw"
n,"Interesting news on #AI and Italy, banning #ChatGPT 
#385tech https://t.co/sX4bjacHvF"
l,@copyelpadrino Chatgpt
p,"@Sahanjayasekar3 🔥Hey Guys, #ZenithSwap has launched at just $ 55,000 USD Marketcap. The ChatGPT of DEX - Reimagining DeFi with AI-Powered Yield Farming. Now at 4X. Lot of up potential at such low marketcap.🔥😇 $ARB $ZSP #Arbitrum https://t.co/I1m7xBy0fz"
p,@studioanf They probably just need a bit more time to tune the textencoder on gpt4 caption image pairs :)
p,"ChatGPT and other generative AI can be used to create engaging and personalized content for social media campaigns. While social media managers will need to adjust and refine the deliverables, AI is a great way to kickstart ideas for content. https://t.co/vGAW64PuX9"
p,15 Best ChatGPT prompts to finish hours of work in seconds: https://t.co/8O3mu2xyVK
p,"A look at Bloomberg’s BloombergGPT, a domain-specific AI for business news trained on decades of financial news and data. (NiemanLab / Joshua Benton) https://t.co/W2KU20Avi0"
l,"Is there anyone who still hasn't interacted with ChatGPT yet?

Am I the only one?"
n,"@Babygravy9 The year is 2024. ChatGPT replaced all doctors. Your test results, 40ng/dl.

""It is my duty to prevent harm and promote healthy standards. Your results indicate toxicly masculine levels of hormones. Estrogen therapy should begin immediately. Drone has been dispatched"""
l,Using #ChatGPT to rewrite blobs of text. https://t.co/WZqCTLutn8
l,@copyelpadrino chatgpt
p,I’m always polite with ChatGPT. It is also very polite. Our interactions show good manners on both sides 🙂👸 https://t.co/s0XUCYxYCk
p,"@pcgamer @elonmusk  is a businessman. If @OpenAI was his venture, in the same way @Tesla and @SpaceX are, he would be singing praises to #GPT4."
l,@copyelpadrino CHATGPT
p,"https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “ChatGPT-like” AI Chatbot, And Charge People For Using It...https://t.co/WTuyL6VszG ‼ First To Market Hard-Coded AI App That Lets You Launch Your Very Own “ChatGPT-like” AI Chatbot https://t.co/JRlyVs9JLN"
l,"🥳🥳 #NYOROROV #chatgpt #chillart #ai 
Original: Gerfeaice https://t.co/oFZLiyxvWg"
p,I had some thoughts as to whether #ChatGPT could help mediate a debate. It was short but certainly shows the promise and potential future role of AI as a mediator perhaps even real-time fact checker. https://t.co/01H4qyWh3I
n,1/4 🚨 Italy bans #ChatGPT over privacy and GDPR concerns. The AI-powered conversational agent deemed non-compliant with Italian data protection regulations. 🇮🇹 #GDPR #Privacy
n,@axel_yoh @paulinenjoroge Chatgpt seen. Says a lot without any substantive matter.
p,"Boost your UX Writing process with FigGPT, a ChatGPT Figma Plugin by @edwche https://t.co/UvmFVDBsuj"
l,"Mum didn’t know what ai was/is 

Let me illustrate 

My sister showed her the chatgpt thing 
And she said ‘and that’s Bi?’"
p,"The one good thing about the miserable community of @Wikipedia @eswikipedia Administrators is that they will not exist in 3-5 years thanks to ChatGPT/AI.

The idea of this platform had been good but if you give anonymous users too much power..."
p,@Abdulmalik_3264 Created by @chatgpt_openai_official | Support @chatgpt_support https://t.co/zh0XJ0SvjM
l,"Expedia Wants You to Trust ChatGPT With Your Travel Plans
#technology #technologynews #technews
https://t.co/u9xubZAPep"
p,Peter Schiffs Lauds ChatGPT For Recommending Gold Over Bitcoin https://t.co/bSAeBr2wLb
n,"Is it just me, or has ChatGPT lost the plot with naming its chats?
This conversation was about mechatronics research topics, not 🍕! https://t.co/lYBllEf3sJ"
p,"I really want to make a program that talks to me about software development. Then generates what we talk about using gpt4.

Does anyone have any voice processing recommendations? I'd rather not use paid for APIs for the whole thing. Although I could use whisper to get it started."
p,"🔹@MoonbeamNetwork has introduced ChatGPT-based Dev Assistant Kapa
🔹@ZooDAO is now live on Moonbeam
🔹@BitDotCountry Governance is now live
🔹ReadON partners with @MantaNetwork
🔹@docknetwork's new API page is finally live
https://t.co/lNFYZrfUuq"
p,"(2/6) Here's a recent standout prompt from the library forum

It guides users to create well-structured prompts, with ChatGPT as a supportive partner https://t.co/TPpObFgIXB"
p,"Have you seen @SlidesGPT? It's ChatGPT for presentations, and it works for PowerPoint and Google Slides. It could be interesting to compare with the new Magic Presentation in Canva.

Link: https://t.co/2HPBJChCBd https://t.co/2dLZtPOd0H"
p,7/ I used ChatGPT to help me refine this post series
l,In case you were wondering what ChatGPT was not meant for: https://t.co/DNh6LPZAzj
n,I wish #ChatGPT  was only about creatives losing their jobs. Goldman Sachs says 300 million jobs will be affected. Developers admit they have no idea how dangerous their program is. It’s growing exponentially with no off switch. https://t.co/RxKzykydI1
p,🌟 Enhance your business with cutting-edge AI technology! Our #ChatGPT for Beginners course offers the perfect introduction for companies embracing the digital world. Sign up now: https://t.co/kAF7l0d2qN #BusinessInnovation #AI https://t.co/y7v4dzbpeu
n,“Italy’s recent ban of Open AI’s generative text tool may just be the beginning of ChatGPT’s regulatory woes.” https://t.co/s2H6ziXtJm @WIRED
p,"Hmm well chatgpt is a bit more helpful. Here's the smart contract code possibly, though I don't know how to check for errors, I'm working on figuring it all out... 
https://t.co/aUs9uXkPw8

#cardano #CardanoNFT #acidtoonz #smartcontract #lottery"
n,"@Spookaly Yo that would be amazing! I love

(Some alternatives include Pygmalion 6B, Kobold AI (which has different models including Pygmalion), ChatGPT (which is a bit restrictive but can be good with RPing). Be careful with Pygmalion as it is unrestricted so it can generate NSFW content)"
p,GITA can be given capabilities like ChatGPT through deep learning with advanced generative-based conversational AI that does not use any predefined repository of responses. 10/n
p,"Want to grow your wealth over time? Start investing today and watch your money work for you. #investingtips #financialgoals 

#ChatGPT does investment education 🔥"
n,"@botanch This thread is saved to your Notion database.

Tags: [Ia, Chatgpt]"
p,Chatgpt has my heart &lt;3 I need to get the new version Idc
p,"@amyglobalkids I'm thinking about demonstrating how to use ChatGPT ( free version ) for language learning on Twitter space ... , very first easy step .😅"
p,Time to replace Bank of England’s governor with ChatGPT – POLITICO https://t.co/AsvnrslPrJ
p,"I can now hand them over to the real #ChatGPT.

Or, I can deliver a new Train The Trainer Design Lab course using #ChatGPT. @SkillCiti 3/3"
l,"I don’t know why programmers are so scared of ChatGPT like y’all haven’t been on StackOverflow and Google your entire career. 

This just another better repository."
p,"Confession: I never signed up on chatGPT, I only asked just some questions to You .com, then went back to Google searches 😁"
l,What ChatGPT And Other #AI Tools Mean For The Future Of #Healthcare. Learn more: https://t.co/5J5jXgW5EP
p,Will ChatGPT replace Costco?
l,Bill Gates becomes the latest tech leader to say pausing AI is not a practical idea https://t.co/zqnHUaVC5U
p,"@EspDany 💡An idea:

What if you could have multiple chat instances open side by side. Overseeing multiple conversations at a glance.

Perhaps even being able to copy outputs to other conversations? 

Multitasking with ChatGPT"
n,@juanstoppa @heyBarsee good point! you’re saying that if chatgpt had come out in 2006 it would have been too creepy right?
p,"@JoClark12765002 ChatGPT is an AI technology! We wanted to have a little fun and test it’s capabilities- based on this, it is definitely not a #Chihard! 🤣"
p,"50,000 words I have written on SEO + ChatGPT = “seoGPT”!

Ask it any question on SEO and get an answer 😀

Put this together quickly. Now:
1. Make it faster
2. Make it prettier

Will share updates soon! https://t.co/BQ8B6MzRKf"
n,"A fool, their money, and an LLM walked into a weakly efficient market...

https://t.co/IzUnvRWwlE"
p,"5. Of course, we have to talk about AI: 

""We ran the numbers, and a sizable majority of the Al startups listed in one of the most extensive trackers we could find use Stripe... For its flagship products, ChatGPT Plus and DALL·E, OpenAI uses Stripe..."" https://t.co/7Ze5lPbnog"
l,Italy became the first Western country to ban ChatGPT. Here's what other countries are doing...#CNBC #Tech
n,"And yes, ChatGPT can not get the date of the first U.S. college hockey game correct https://t.co/PUuWKPmkzY"
p,"If you use an iPhone, and you use ChatGPT — I mean, who doesn't — then you simply must use Perplexity. It's a brilliant (and free) AI chatbot app that provides references as well as suggested follow-ups to your questions. My new go to for any enquiry. https://t.co/lAwj1oRGhP"
l,"@Dan_Jeffries1 Very true. This demo relies on multiple layers of LLMs working with unstructured data.
Transcript →  Sections →  Chunks + Metadata →  Search API →  ChatGPT →  Text response"
l,@copyelpadrino ChatGPT
l,@katecrawford @mjnblack We really need a guide to tell people how and what to use ChatGPT for. That's basically not how you should use it. This is where you have to go back to Google. Its called a chat for a reason.
n,"Beat this, #ChatGPT https://t.co/HhK7pzUOoa"
l,"Sent to me by a classmate: if you were ever wondering what the point of the Spire is, ChatGPT appears to have...made one up https://t.co/rOxpohGPgE"
n,"I trained ChatGPT to gain sentience.

This...is not good. https://t.co/Lc0IYgJQ1M"
l,"Short clip from the latest vid!
Watch here:https://t.co/RUfmCX5VFN
#Memes #ArtificialIntelligence #chatgpt https://t.co/WNRkPYSISu"
p,"@emmcnally $SAVA I also asked chatGPT, thought you would like to know. 🥰 https://t.co/i3T06zeMby"
p,I was working for a client and wondered if #GPT4 could generate correct SPARQL based on the business logic and it sure did. Seems like others are also finding ways to use GPT4 with KGs. Exciting! Good read. LLM’s Closing the KG Gap by Dean Allemang https://t.co/LQSg4sIJDu
l,"@elonmusk @cb_doge ChatGPT is a language model developed by OpenAI, a leading artificial intelligence research organization founded in 2015 by a group of technology luminaries, including Elon Musk, Sam Altman, Greg Brockman, Ilya Sutskever, John Schulman, and Wojciech Zaremba."
l,@copyelpadrino ChatGPT
n,"The Dark Side of ChatGPT: Trade Secret Leaks in Samsung

https://t.co/fdEy13wGC4"
l,ChatGPT Meets the ABT: Friend or Foe for Your Business Storytelling? - https://t.co/CeQ6Oe11uB https://t.co/ObJqXyXLYd
n,"@AmitShah @HMOIndia Nupur is still living a life worst than that of a refuge. She must be in a hiding, for her statement that even this Zubair's great-grandfather believed in. Even ChatGPT confirms the same. Would @zoo_bear ask for a death sentence of ChatGPT? https://t.co/wPoJ3pNyyA https://t.co/wy6MrquIBy"
l,@copyelpadrino ChatGPT
p,I used CHATGPT😒😂 https://t.co/1aS05JNoDS
p,"Use ChatGPT like a Pro: Discover Parameters and Unlock AI Writing Secrets 

https://t.co/IqFUTXGpMd"
p,"https://t.co/myhqZYYepF
Are you ready to explore the exciting world of blockchain technology and chatbots? Look no further than 'Integrating ChatGPT with Blockchain Technology', the ultimate guide for tech enthusiasts and scholars alike. This comprehensive book delves deep into… https://t.co/lu8pHZrnnk"
l,People need to realize that Layer 1 is like operating system. Everyone can build on top of them. And to get recognition you must work hard for quality of your dapps. Just like how ChatGPT got Microsoft's attention (and funding).
p,"Does ChatGPT make stuff up? Read this article by @isaiahmurtaugh from @vcsschools and see! What a GREAT example, and one that we can share with Ss so they understand they need to check sources! https://t.co/dSsjCbPJtp"
n,"My first reminder that GPT4 (which is astonishingly powerful) was somewhat brittle came when I tried Midjourney-style emphasis in a thread. Here’s what I did:

By adding hyperbolic words (“a very extremely superbly greatly important”) before part of the prompt, I was able to get… https://t.co/AhCfm3eO1g"
p,"In actual reality, ChatGPT is just better

 @memelyxyz
#HotNews #viralVideo #memely #o 25025 https://t.co/wm2GiZ0JxY"
n,OpenAI needs a DAO to manage ChatGPT  https://t.co/qo956tq4RS https://t.co/EimivOdDJ1
l,"@MKBHD still google assistant, I only really use it for reminders, and chatGPT wouldn't be able to send me reminders."
l,"PDFgear's New ChatGPT-Powered Feature Allows Users to Chat with PDFs

https://t.co/CJxubhthEE"
l,@peoplesfabric ChatGPT:  Write me an editorial that sounds like a John Kass column but imaging Kass's same personality and writing skills transposed onto a center-left blob.
l,"@zereraz What benefit does a custom llm running on your laptop have over ChatGPT? Local Context?

Are you thinking of an llm that has full context awareness of everything on your laptop and your online presence (email for example)?"
p,@firasd @benedictevans Bing AI is a search engine powered by AI. ChatGPT is a generative AI. Both run on GPT-4 but have different capabilities/functions.
l,"The performance on simple blocks world improved a bit--from ~5% to ~30%. 

But is this because the reasoning improved or  because our benchmarks on github became fodder for GPT4 training, and GPT4 is still merrily pattern matching?  4/ 

https://t.co/dzVro7bqN5"
